timestamp_begin,timestamp_end,response_time,total_calls,ENDPOINT_1,ENDPOINT_2,ENDPOINT_3,ENDPOINT_4,ENDPOINT_5,ENDPOINT_6,ENDPOINT_7,ENDPOINT_8,ENDPOINT_9,ENDPOINT_10,ENDPOINT_11,ENDPOINT_12,ENDPOINT_13,ENDPOINT_14,ENDPOINT_15,ENDPOINT_16,ENDPOINT_17,ENDPOINT_18,ENDPOINT_19,ENDPOINT_20,ENDPOINT_21,ENDPOINT_22,ENDPOINT_23,cpu_app,memory_app,cpu_db,memory_db,rows_fetched,rows_returned,db_commits
1701886636,1701886696,12.36144578313253,83,2,6,1,3,3,3,3,3,3,3,3,3,3,3,5,3,4,9,7,6,2,4,1,40.0111,23.9771,32.76616333333333,65.44183166666666,77532.5843,123535.8862,137.8939
1701886696,1701886757,13.932203389830509,59,2,3,1,3,3,3,3,2,1,1,1,1,1,3,3,3,3,7,5,4,0,5,1,42.4825,23.9847,34.595163333333325,66.198115,106041.3472,163346.6012,131.1425
1701886757,1701886817,12.135135135135135,74,2,5,0,2,2,2,2,2,3,3,4,4,4,1,3,1,2,10,10,5,3,4,0,36.6042,23.9713,39.79349,65.98316833333332,66960.6333,107138.4605,143.031
1701886817,1701886877,12.518518518518519,81,2,6,1,2,2,2,2,2,2,2,2,2,2,4,7,4,4,9,9,6,4,2,3,43.5213,23.9995,30.003216666666678,64.40354666666666,95043.1419,147233.4074,115.7112
1701886877,1701886937,18.3953488372093,43,7,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,7,2,1,6,3,36.4772,24.0138,38.76252666666666,65.42180166666667,60673.3267,109453.8017,144.6023
1701886937,1701886998,11.657407407407407,108,3,4,0,7,7,7,7,7,7,7,7,6,6,2,3,2,2,3,3,8,1,9,0,50.6217,24.0107,39.208645000000004,67.31652333333334,117791.3664,163670.6577,144.2383
1701886998,1701887058,14.709090909090909,55,0,1,0,2,2,2,2,2,2,2,2,2,2,4,5,4,4,3,3,8,1,2,0,42.3546,24.02,47.90467999999999,64.91671166666666,69015.6782,132900.1955,136.4547
1701887058,1701887118,13.611940298507463,67,4,4,1,1,1,1,1,1,1,2,2,1,1,4,4,4,6,9,10,5,0,3,1,47.416,24.028,31.667601666666673,66.51732833333332,64648.1962,110367.3035,132.5298
1701887118,1701887178,12.588235294117647,68,3,7,0,4,2,2,2,2,2,2,3,3,3,1,2,1,2,6,8,4,3,5,1,39.7451,24.0361,36.82343500000001,65.30422,100165.4323,152959.4164,137.2587
1701887178,1701887238,13.701492537313433,67,4,4,2,1,1,1,2,3,3,3,3,3,3,2,4,2,2,6,4,6,2,4,2,41.2253,24.0435,43.946215,65.99682666666665,62736.4676,102994.4541,145.5957
1701887238,1701887298,12.80232558139535,86,2,3,0,4,4,4,4,4,4,4,3,3,3,4,5,4,4,9,5,7,1,5,0,48.4594,24.0368,35.37343166666667,65.53273333333331,103822.5521,160931.2839,133.8815
1701887298,1701887358,14.892857142857142,56,3,5,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,9,8,5,2,3,1,40.0256,24.023,37.18469000000001,64.81285333333335,62380.384,108013.4231,134.9933
1701887358,1701887418,11.879518072289157,83,3,5,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,9,7,5,2,5,1,40.3514,23.9706,32.99774499999999,65.82419166666666,95628.4987,148455.8731,137.2467
1701887418,1701887478,15.054545454545455,55,3,4,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,5,5,1,5,1,41.8368,23.9733,43.70416666666665,65.34575500000001,84156.7576,139965.248,146.5016
1701887478,1701887538,11.670886075949367,79,2,2,1,5,5,5,5,5,3,3,3,3,3,4,3,3,3,5,4,6,0,5,1,41.2303,23.9626,39.232040000000005,65.65451166666668,106243.1194,155086.5149,136.1789
1701887538,1701887598,13.818181818181818,55,2,4,0,0,0,0,0,1,1,1,2,2,2,4,6,3,4,8,6,5,1,2,1,37.6564,23.9557,37.71486333333334,65.76304666666667,47228.5971,94163.9391,138.8417
